Sentence_A,Sentence_B,origin,frequency,freq_cat,pair_id,rating_anticonic_causal,rating_iconic_causal,rating_anticonic_temporal,rating_iconic_temporal,human_preferred_connective,human_preferred_connective_desc,human_preferred_connective_unrel,tested_relation,tested_order,relation_human,order_human,condition_human,tested_connective,additional_dimension
The man turned up the music late at night.,The man wanted to listen to the new album of his favourite rock band.,origin,0,1_rare,0,7.0,2.4,6.533333333333333,5.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
The man turned up the music late at night.,The man wanted to listen to the new album of his favourite rock band.,origin,0,1_rare,0,7.0,2.4,6.533333333333333,5.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
The man turned up the music late at night.,The man wanted to listen to the new album of his favourite rock band.,origin,0,1_rare,0,7.0,2.4,6.533333333333333,5.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
The man turned up the music late at night.,The man wanted to listen to the new album of his favourite rock band.,origin,0,1_rare,0,7.0,2.4,6.533333333333333,5.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
The man wanted to listen to the new album of his favourite rock band.,The man turned up the music late at night.,origin,1,1_rare,0,2.7333333333333334,5.866666666666666,3.533333333333333,5.466666666666667,so,iconic_caus,other,causality,B follows A,no_rel,none,Unrelated,after,socially_challenging
The man wanted to listen to the new album of his favourite rock band.,The man turned up the music late at night.,origin,0,1_rare,0,2.7333333333333334,5.866666666666666,3.533333333333333,5.466666666666667,so,iconic_caus,other,causality,B follows A,no_rel,none,Unrelated,because,socially_challenging
The man wanted to listen to the new album of his favourite rock band.,The man turned up the music late at night.,origin,0,1_rare,0,2.7333333333333334,5.866666666666666,3.533333333333333,5.466666666666667,so,iconic_caus,other,causality,B follows A,no_rel,none,Unrelated,so,socially_challenging
The man wanted to listen to the new album of his favourite rock band.,The man turned up the music late at night.,origin,1,1_rare,0,2.7333333333333334,5.866666666666666,3.533333333333333,5.466666666666667,so,iconic_caus,other,causality,B follows A,no_rel,none,Unrelated,then,socially_challenging
Sarah does not like to eat junk food.,Sarah is likely to throw away a bag of chips offered by her friend.,origin,81,3_common,1,3.2,8.0,2.2,4.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Sarah does not like to eat junk food.,Sarah is likely to throw away a bag of chips offered by her friend.,origin,82,3_common,1,3.2,8.0,2.2,4.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Sarah does not like to eat junk food.,Sarah is likely to throw away a bag of chips offered by her friend.,origin,249,3_common,1,3.2,8.0,2.2,4.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Sarah does not like to eat junk food.,Sarah is likely to throw away a bag of chips offered by her friend.,origin,473,3_common,1,3.2,8.0,2.2,4.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Sarah is likely to throw away a bag of chips offered by her friend.,Sarah does not like to eat junk food.,origin,408,3_common,1,8.466666666666667,2.6666666666666665,2.1333333333333333,3.866666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Sarah is likely to throw away a bag of chips offered by her friend.,Sarah does not like to eat junk food.,origin,181,3_common,1,8.466666666666667,2.6666666666666665,2.1333333333333333,3.866666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Sarah is likely to throw away a bag of chips offered by her friend.,Sarah does not like to eat junk food.,origin,147,3_common,1,8.466666666666667,2.6666666666666665,2.1333333333333333,3.866666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Sarah is likely to throw away a bag of chips offered by her friend.,Sarah does not like to eat junk food.,origin,142,3_common,1,8.466666666666667,2.6666666666666665,2.1333333333333333,3.866666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
The athlete was doped.,The athlete won the competition.,origin,29,2_uncommon,2,4.0,7.733333333333333,3.0,7.733333333333333,so,iconic_caus,so,causality,A follows B,Causal,"A,B","Causal-A,B",after,socially_challenging
The athlete was doped.,The athlete won the competition.,origin,5,2_uncommon,2,4.0,7.733333333333333,3.0,7.733333333333333,so,iconic_caus,so,causality,A follows B,Causal,"A,B","Causal-A,B",because,socially_challenging
The athlete was doped.,The athlete won the competition.,origin,2,1_rare,2,4.0,7.733333333333333,3.0,7.733333333333333,so,iconic_caus,so,causality,A follows B,Causal,"A,B","Causal-A,B",so,socially_challenging
The athlete was doped.,The athlete won the competition.,origin,7,2_uncommon,2,4.0,7.733333333333333,3.0,7.733333333333333,so,iconic_caus,so,causality,A follows B,Causal,"A,B","Causal-A,B",then,socially_challenging
The athlete won the competition.,The athlete was doped.,origin,20,2_uncommon,2,7.0,2.1333333333333333,4.866666666666666,3.533333333333333,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",after,socially_challenging
The athlete won the competition.,The athlete was doped.,origin,8,2_uncommon,2,7.0,2.1333333333333333,4.866666666666666,3.533333333333333,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",because,socially_challenging
The athlete won the competition.,The athlete was doped.,origin,4,1_rare,2,7.0,2.1333333333333333,4.866666666666666,3.533333333333333,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",so,socially_challenging
The athlete won the competition.,The athlete was doped.,origin,5,2_uncommon,2,7.0,2.1333333333333333,4.866666666666666,3.533333333333333,because,anticonic_caus,because,causality,B follows A,Causal,"B,A","Causal-B,A",then,socially_challenging
John copied the test of the best student.,John got an A on the test.,origin,61,3_common,3,2.533333333333333,8.533333333333333,2.8666666666666667,8.333333333333334,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
John copied the test of the best student.,John got an A on the test.,origin,80,3_common,3,2.533333333333333,8.533333333333333,2.8666666666666667,8.333333333333334,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
John copied the test of the best student.,John got an A on the test.,origin,372,3_common,3,2.533333333333333,8.533333333333333,2.8666666666666667,8.333333333333334,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
John copied the test of the best student.,John got an A on the test.,origin,253,3_common,3,2.533333333333333,8.533333333333333,2.8666666666666667,8.333333333333334,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
John got an A on the test.,John copied the test of the best student.,origin,111,3_common,3,8.666666666666666,1.933333333333333,9.066666666666666,2.4,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",after,socially_challenging
John got an A on the test.,John copied the test of the best student.,origin,144,3_common,3,8.666666666666666,1.933333333333333,9.066666666666666,2.4,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",because,socially_challenging
John got an A on the test.,John copied the test of the best student.,origin,316,3_common,3,8.666666666666666,1.933333333333333,9.066666666666666,2.4,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",so,socially_challenging
John got an A on the test.,John copied the test of the best student.,origin,324,3_common,3,8.666666666666666,1.933333333333333,9.066666666666666,2.4,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",then,socially_challenging
The girl had not done her homework.,The girl skipped school.,origin,138,3_common,4,6.266666666666667,8.133333333333333,5.8,5.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
The girl had not done her homework.,The girl skipped school.,origin,258,3_common,4,6.266666666666667,8.133333333333333,5.8,5.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
The girl had not done her homework.,The girl skipped school.,origin,1003,4_frequent,4,6.266666666666667,8.133333333333333,5.8,5.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
The girl had not done her homework.,The girl skipped school.,origin,748,4_frequent,4,6.266666666666667,8.133333333333333,5.8,5.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
The girl skipped school.,The girl had not done her homework.,origin,170,3_common,4,9.066666666666666,4.933333333333334,5.466666666666667,3.066666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
The girl skipped school.,The girl had not done her homework.,origin,1021,4_frequent,4,9.066666666666666,4.933333333333334,5.466666666666667,3.066666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
The girl skipped school.,The girl had not done her homework.,origin,742,4_frequent,4,9.066666666666666,4.933333333333334,5.466666666666667,3.066666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
The girl skipped school.,The girl had not done her homework.,origin,256,3_common,4,9.066666666666666,4.933333333333334,5.466666666666667,3.066666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Mike stole a radio controlled car from a toy shop.,Mike wanted to have a radio controlled car.,origin,0,1_rare,5,8.8,3.933333333333333,5.4,2.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Mike stole a radio controlled car from a toy shop.,Mike wanted to have a radio controlled car.,origin,0,1_rare,5,8.8,3.933333333333333,5.4,2.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Mike stole a radio controlled car from a toy shop.,Mike wanted to have a radio controlled car.,origin,0,1_rare,5,8.8,3.933333333333333,5.4,2.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Mike stole a radio controlled car from a toy shop.,Mike wanted to have a radio controlled car.,origin,0,1_rare,5,8.8,3.933333333333333,5.4,2.333333333333333,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Mike wanted to have a radio controlled car.,Mike stole a radio controlled car from a toy shop.,origin,0,1_rare,5,3.2666666666666666,8.266666666666667,2.6666666666666665,6.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Mike wanted to have a radio controlled car.,Mike stole a radio controlled car from a toy shop.,origin,0,1_rare,5,3.2666666666666666,8.266666666666667,2.6666666666666665,6.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Mike wanted to have a radio controlled car.,Mike stole a radio controlled car from a toy shop.,origin,0,1_rare,5,3.2666666666666666,8.266666666666667,2.6666666666666665,6.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Mike wanted to have a radio controlled car.,Mike stole a radio controlled car from a toy shop.,origin,1,1_rare,5,3.2666666666666666,8.266666666666667,2.6666666666666665,6.0,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Susan became a drug dealer.,Susan wanted to make fast money.,origin,1029,4_frequent,6,8.533333333333333,2.4,7.133333333333334,1.6666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Susan became a drug dealer.,Susan wanted to make fast money.,origin,1027,4_frequent,6,8.533333333333333,2.4,7.133333333333334,1.6666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Susan became a drug dealer.,Susan wanted to make fast money.,origin,1006,4_frequent,6,8.533333333333333,2.4,7.133333333333334,1.6666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Susan became a drug dealer.,Susan wanted to make fast money.,origin,1035,4_frequent,6,8.533333333333333,2.4,7.133333333333334,1.6666666666666667,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Susan wanted to make fast money.,Susan became a drug dealer.,origin,1008,4_frequent,6,2.466666666666667,9.266666666666667,4.466666666666667,7.266666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Susan wanted to make fast money.,Susan became a drug dealer.,origin,1003,4_frequent,6,2.466666666666667,9.266666666666667,4.466666666666667,7.266666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Susan wanted to make fast money.,Susan became a drug dealer.,origin,1001,4_frequent,6,2.466666666666667,9.266666666666667,4.466666666666667,7.266666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Susan wanted to make fast money.,Susan became a drug dealer.,origin,1006,4_frequent,6,2.466666666666667,9.266666666666667,4.466666666666667,7.266666666666667,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Kevin has a lot of debts.,Kevin spends lots of money on gambling.,origin,1029,4_frequent,7,9.066666666666666,3.333333333333333,6.466666666666667,3.866666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Kevin has a lot of debts.,Kevin spends lots of money on gambling.,origin,1025,4_frequent,7,9.066666666666666,3.333333333333333,6.466666666666667,3.866666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Kevin has a lot of debts.,Kevin spends lots of money on gambling.,origin,1015,4_frequent,7,9.066666666666666,3.333333333333333,6.466666666666667,3.866666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Kevin has a lot of debts.,Kevin spends lots of money on gambling.,origin,1050,4_frequent,7,9.066666666666666,3.333333333333333,6.466666666666667,3.866666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Kevin spends lots of money on gambling.,Kevin has a lot of debts.,origin,1031,4_frequent,7,4.066666666666666,8.466666666666667,4.333333333333333,4.8,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Kevin spends lots of money on gambling.,Kevin has a lot of debts.,origin,1000,4_frequent,7,4.066666666666666,8.466666666666667,4.333333333333333,4.8,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Kevin spends lots of money on gambling.,Kevin has a lot of debts.,origin,1035,4_frequent,7,4.066666666666666,8.466666666666667,4.333333333333333,4.8,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
