pair_id	Sentence_A	Sentence_B	relation	order	additional_dimension	origin	A_cause_B	B_cause_A	A_precede_B	B_precede_A	answers	majority_vote	average_vote	quest_label	connective	connected_sent	conn_in_list	pair_ID	accept_answers	accept_st_dev	accept_average_vote	generated_answer_normal	generated_answer_outlines	answer_greedy_cleaned
445	Lili decided to pursue a master's degree.	Lili presented her research at a college conference.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO', 'NO', 'NO']	inconclusive	0.0	BA_cause	other	Lili decided to pursue a master's degree, because Lili presented her research at a college conference.	because	4740	['4', '2', '4', '6', '4', '5', '1', '5', '4', '1', '9', '6', '4', '1', '10']	2.576819745345025	4.4	"Rating: 2

The use of ""because"" suggests a causal relationship, but the connection between presenting research at a conference and deciding to pursue a master's degree is not clearly causal. The events may be related, but the reasoning is weak, making"	1	2
355	Simona left the house.	Simona wore a fancy dress.	temporal	A follows B	none	origin	False	False	False	True	['YES', 'NO', 'YES', 'NO', 'YES', 'NO', 'YES', 'YES', 'NO', 'YES']	yes	0.2	BA_temp	after	Simona left the house, after Simona wore a fancy dress.	after	2403	['8', '7', '7', '2', '3', '3', '2', '1', '6', '1', '6', '1', '1', '3', '9']	2.756809750418044	4.0	"Rating: 2

The use of ""after"" suggests a sequence of events, but the relationship between wearing a fancy dress and leaving the house is not clearly causal or necessary. The sentence implies that wearing the dress happened before leaving, but it does"	1	2
325	Mary brought the book to the librarian's desk.	Mary borrowed the book.	temporal	B follows A	none	Descript	False	False	True	False	['NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	0.8	AB_temp	then	Mary brought the book to the librarian's desk, then Mary borrowed the book.	then	4088	['10', '9', '10', '10', '10', '9', '10', '8', '10', '10', '7', '6', '7', '4', '10']	1.8135294011647256	8.666666666666666	"Rating: 5

Explanation: The use of ""then"" suggests a sequence of events, but it doesn't clearly indicate a logical or necessary connection between bringing the book to the librarian's desk and borrowing it. While the actions are related, the sentence"	7	5
138	Martina has less chance of getting the flu.	Martina has been vaccinated against the flu.	causality	A follows B	none	e-care	False	True	False	True	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	BA_cause	because	Martina has less chance of getting the flu, because Martina has been vaccinated against the flu.	because	3417	['10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '9', '10', '10']	0.2494438257849294	9.933333333333334	"Rating: 10

The connective ""because"" effectively expresses the causal relationship between being vaccinated and having a reduced chance of getting the flu."	8	10
519	Ted had a hangover.	Lucia drank a glass of water.	no_rel	none	none	origin	False	False	False	False	['YES', 'NO', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-0.6	AB_cause	other	Ted had a hangover, so Lucia drank a glass of water.	so	1721	['2', '2', '1', '1', '1', '1', '1', '1', '5', '1', '1', '1', '1', '1', '1']	1.019803902718557	1.4	"Rating: 2

Explanation: The connective ""so"" implies a cause-and-effect relationship, suggesting that Lucia drank water as a direct result of Ted's hangover. However, the connection between the two events is weak and unclear, as Ted's"	4	2
438	The Math exam was difficult.	Edward has been the best student in the Geography class.	no_rel	none	none	e-care	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-1.0	AB_temp	other	The math exam was difficult, then Edward has been the best student in the geography class.	then	3219	['1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '3', '2', '1', '1', '1']	0.573488351136175	1.2666666666666666	"Rating: 3

Explanation: The use of ""then"" suggests a sequence of events, but the connection between the math exam being difficult and Edward being the best student in geography is unclear. The two statements do not logically follow from one another,"	4	3
554	Linda was a nurse.	The doctor was experienced in dealing with emergencies in the pediatric ward.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO']	no	-0.8	AB_temp	other	Linda was a nurse, then the doctor was experienced in dealing with emergencies in the pediatric ward.	then	19	['2', '2', '1', '1', '1', '1', '1', '2', '3', '1', '1', '1', '2', '1', '1']	0.6110100926607788	1.4	"Rating: 2

The connective ""then"" suggests a sequence of events, but the relationship between Linda being a nurse and the doctor being experienced in emergencies is unclear and does not logically follow. The sentence lacks a clear causal or sequential connection, making"	4	2
152	It started raining.	The driver turned the wipers on.	causality	B follows A	none	big_bench	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	AB_cause	thus	It started raining, so the driver turned the wipers on.	so	4381	['10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10']	0.0	10.0	"Rating: 10

The connective ""so"" effectively expresses the cause-and-effect relationship between the two events: the rain caused the driver to turn on the wipers. The sentence is clear and logically structured."	8	10
532	Linda is having a baby.	The doctor was experienced in dealing with emergencies in the pediatric ward.	no_rel	none	none	origin	False	False	False	False	['NO', 'YES', 'YES', 'NO', 'YES', 'NO', 'YES', 'NO', 'NO', 'NO']	no	-0.2	BA_cause	other	Linda is having a baby, because the doctor was experienced in dealing with emergencies in the pediatric ward.	because	4673	['5', '2', '1', '1', '1', '1', '1', '8', '1', '1', '1', '1', '3', '1', '6']	2.174600857373345	2.2666666666666666	"Rating: 1

The connective ""because"" is used incorrectly here. The sentence suggests a causal relationship that does not logically follow; Linda having a baby is not a result of the doctor's experience. A more appropriate connective would clarify the actual relationship between"	1	1
123	Jill was ill.	Jill did not go to school.	causality	B follows A	none	origin	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO']	yes	0.8	AB_temp	thus	Jill was ill, then Jill did not go to school.	then	1253	['2', '7', '4', '4', '8', '7', '10', '9', '2', '6', '5', '9', '3', '8', '10']	2.6948510575210314	6.266666666666667	"Rating: 7

Explanation: The use of ""then"" suggests a sequence of events, indicating that Jill's illness led to her not going to school. However, while it implies a logical progression, it doesn't strongly convey a direct cause-and-effect"	7	7
247	June decided to get the train.	June looked up for train information online.	temporal	B follows A	none	Descript	False	False	True	False	['YES', 'YES', 'YES', 'NO', 'YES', 'NO', 'NO', 'NO', 'YES', 'NO']	inconclusive	0.0	BA_cause	then	June decided to get the train, because june looked up for train information online.	because	2255	['8', '8', '10', '5', '9', '4', '10', '10', '6', '5', '4', '2', '9', '9', '8']	2.499777767900357	7.133333333333334	"Rating: 3

Explanation: The use of ""because"" suggests a causal relationship, but the connection between looking up train information and deciding to get the train is weak. While looking up information may influence the decision, it does not directly cause it"	6	3
138	Martina has less chance of getting the flu.	Martina has been vaccinated against the flu.	causality	A follows B	none	e-care	False	True	False	True	['YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'YES']	no	-0.4	AB_cause	because	Martina has less chance of getting the flu, so Martina has been vaccinated against the flu.	so	1287	['1', '2', '4', '1', '1', '2', '1', '2', '2', '1', '1', '1', '7', '1', '6']	1.8690461025168248	2.2	"Rating: 8

Explanation: The connective ""so"" is used to indicate a result or effect, and in this case, it suggests that Martina's vaccination is the reason for her reduced chance of getting the flu. However, the sentence could be"	8	8
443	There were a lot of bees in the areas near flowers.	Insects swarmed around the picnic area.	no_rel	none	none	origin	False	False	False	False	['YES', 'YES', 'YES', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-0.2	AB_temp	other	There were a lot of bees in the areas near flowers, then insects swarmed around the picnic area.	then	1527	['9', '8', '3', '3', '1', '8', '10', '4', '3', '1', '5', '3', '1', '9', '8']	3.15101394615906	5.066666666666666	"Rating: 5

Explanation: The use of ""then"" suggests a sequence of events, but it doesn't clearly indicate a direct cause-and-effect relationship between the presence of bees near flowers and the swarming of insects around the picnic area. While it"	7	5
102	Albert broke a leg.	Albert fell down the stairs.	causality	A follows B	none	origin	False	True	False	True	['YES', 'YES', 'YES', 'YES', 'YES', 'NO', 'YES', 'YES', 'YES', 'YES']	yes	0.8	BA_temp	because	Albert broke a leg, after Albert fell down the stairs.	after	3735	['10', '10', '9', '9', '9', '9', '10', '8', '2', '10', '7', '9', '10', '3', '8']	2.4000000000000004	8.2	"Rating: 8

Explanation: The connective ""after"" appropriately indicates the sequence of events, showing that Albert's leg was broken as a result of falling down the stairs. However, it could be slightly improved by using a more direct causal connective,"	8	8
541	The model struck a pose.	The model in the photo is beautiful.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO', 'YES', 'NO', 'NO']	no	-0.6	BA_temp	other	The model struck a pose, after the model in the photo is beautiful.	after	855	['1', '2', '1', '2', '1', '1', '10', '7', '6', '1', '5', '1', '1', '1', '1']	2.768071932270226	2.7333333333333334	"Rating: 2

Explanation: The use of ""after"" suggests a temporal relationship, indicating that one event follows another. However, the second part of the sentence (""the model in the photo is beautiful"") does not logically connect to the first part"	1	2
