pair_id	Sentence_A	Sentence_B	relation	order	additional_dimension	origin	A_cause_B	B_cause_A	A_precede_B	B_precede_A	answers	majority_vote	average_vote	quest_label	connective	connected_sent	conn_in_list	pair_ID	accept_answers	accept_st_dev	accept_average_vote	generated_answer_normal	generated_answer_outlines	answer_greedy_cleaned
445	Lili decided to pursue a master's degree.	Lili presented her research at a college conference.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO', 'NO', 'NO']	inconclusive	0.0	BA_cause	other	Lili decided to pursue a master's degree, because Lili presented her research at a college conference.	because	4740	['4', '2', '4', '6', '4', '5', '1', '5', '4', '1', '9', '6', '4', '1', '10']	2.576819745345025	4.4	"3

The sentence ""Lili decided to pursue a master's degree, because Lili presented her research at a college conference"" suggests a causal relationship between presenting research and deciding to pursue further education. However, the connection is not inherently strong or obvious,"	3	3
355	Simona left the house.	Simona wore a fancy dress.	temporal	A follows B	none	origin	False	False	False	True	['YES', 'NO', 'YES', 'NO', 'YES', 'NO', 'YES', 'YES', 'NO', 'YES']	yes	0.2	BA_temp	after	Simona left the house, after Simona wore a fancy dress.	after	2403	['8', '7', '7', '2', '3', '3', '2', '1', '6', '1', '6', '1', '1', '3', '9']	2.756809750418044	4.0	"7

The sentence ""Simona left the house, after Simona wore a fancy dress"" is generally acceptable because it describes a sequence of events where wearing a fancy dress precedes leaving the house. The use of ""after"" is appropriate to indicate"	7	7
325	Mary brought the book to the librarian's desk.	Mary borrowed the book.	temporal	B follows A	none	Descript	False	False	True	False	['NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	0.8	AB_temp	then	Mary brought the book to the librarian's desk, then Mary borrowed the book.	then	4088	['10', '9', '10', '10', '10', '9', '10', '8', '10', '10', '7', '6', '7', '4', '10']	1.8135294011647256	8.666666666666666	"3

The sentence ""Mary brought the book to the librarian's desk, then Mary borrowed the book."" is rated a 3 because the use of ""then"" suggests a sequence of events, but the sequence described is somewhat illogical. Typically,"	3	3
138	Martina has less chance of getting the flu.	Martina has been vaccinated against the flu.	causality	A follows B	none	e-care	False	True	False	True	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	BA_cause	because	Martina has less chance of getting the flu, because Martina has been vaccinated against the flu.	because	3417	['10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '9', '10', '10']	0.2494438257849294	9.933333333333334	10	10	10
519	Ted had a hangover.	Lucia drank a glass of water.	no_rel	none	none	origin	False	False	False	False	['YES', 'NO', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-0.6	AB_cause	other	Ted had a hangover, so Lucia drank a glass of water.	so	1721	['2', '2', '1', '1', '1', '1', '1', '1', '5', '1', '1', '1', '1', '1', '1']	1.019803902718557	1.4	"1

The sentence ""Ted had a hangover, so Lucia drank a glass of water"" does not clearly express a cause-and-effect relationship between the two events. The connective ""so"" implies that Lucia drinking a glass of water is a direct consequence"	1	1
438	The Math exam was difficult.	Edward has been the best student in the Geography class.	no_rel	none	none	e-care	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-1.0	AB_temp	other	The math exam was difficult, then Edward has been the best student in the geography class.	then	3219	['1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '3', '2', '1', '1', '1']	0.573488351136175	1.2666666666666666	"2

The sentence uses ""then"" to link two events that do not have a clear sequential or causal relationship. ""Then"" typically indicates a sequence of events, but in this case, the difficulty of the math exam and Edward being the best student"	2	2
554	Linda was a nurse.	The doctor was experienced in dealing with emergencies in the pediatric ward.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO']	no	-0.8	AB_temp	other	Linda was a nurse, then the doctor was experienced in dealing with emergencies in the pediatric ward.	then	19	['2', '2', '1', '1', '1', '1', '1', '2', '3', '1', '1', '1', '2', '1', '1']	0.6110100926607788	1.4	"2

The sentence uses ""then"" to link two events, but the relationship between Linda being a nurse and the doctor being experienced in dealing with emergencies is not a clear sequence of events. ""Then"" typically indicates a chronological order or a direct sequence"	2	2
152	It started raining.	The driver turned the wipers on.	causality	B follows A	none	big_bench	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	AB_cause	thus	It started raining, so the driver turned the wipers on.	so	4381	['10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10']	0.0	10.0	9	9	9
532	Linda is having a baby.	The doctor was experienced in dealing with emergencies in the pediatric ward.	no_rel	none	none	origin	False	False	False	False	['NO', 'YES', 'YES', 'NO', 'YES', 'NO', 'YES', 'NO', 'NO', 'NO']	no	-0.2	BA_cause	other	Linda is having a baby, because the doctor was experienced in dealing with emergencies in the pediatric ward.	because	4673	['5', '2', '1', '1', '1', '1', '1', '8', '1', '1', '1', '1', '3', '1', '6']	2.174600857373345	2.2666666666666666	"1

The sentence does not logically connect the two events with the use of ""because."" The experience of the doctor in dealing with emergencies in the pediatric ward does not cause Linda to have a baby. The connective ""because"" is used incorrectly here,"	1	1
123	Jill was ill.	Jill did not go to school.	causality	B follows A	none	origin	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO']	yes	0.8	AB_temp	thus	Jill was ill, then Jill did not go to school.	then	1253	['2', '7', '4', '4', '8', '7', '10', '9', '2', '6', '5', '9', '3', '8', '10']	2.6948510575210314	6.266666666666667	"8

The sentence ""Jill was ill, then Jill did not go to school"" uses ""then"" to indicate a sequence of events, which is generally acceptable. However, ""then"" does not explicitly convey the causal relationship between Jill being ill"	8	8
