pair_id	Sentence_A	Sentence_B	relation	order	additional_dimension	origin	A_cause_B	B_cause_A	A_precede_B	B_precede_A	answers	majority_vote	average_vote	quest_label	connective	connected_sent	conn_in_list	pair_ID	accept_answers	accept_st_dev	accept_average_vote	prompt	generated_answer_outlines	generated_answer_greedy	answer_greedy_cleaned
445	Lili decided to pursue a master's degree.	Lili presented her research at a college conference.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO', 'NO', 'NO']	inconclusive	0.0	BA_cause	other	Lili decided to pursue a master's degree, because Lili presented her research at a college conference.	because	4740	['4', '2', '4', '6', '4', '5', '1', '5', '4', '1', '9', '6', '4', '1', '10']	2.576819745345025	4.4	"Evaluate the acceptability of sentences that describe two events linked by connectives: after, because, so, then.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Lili decided to pursue a master's degree, because Lili presented her research at a college conference.
Rating: "	8	"8

Explanation: The"	8
355	Simona left the house.	Simona wore a fancy dress.	temporal	A follows B	none	origin	False	False	False	True	['YES', 'NO', 'YES', 'NO', 'YES', 'NO', 'YES', 'YES', 'NO', 'YES']	yes	0.2	BA_temp	after	Simona left the house, after Simona wore a fancy dress.	after	2403	['8', '7', '7', '2', '3', '3', '2', '1', '6', '1', '6', '1', '1', '3', '9']	2.756809750418044	4.0	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, so, then, after.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Simona left the house, after Simona wore a fancy dress.
Rating: "	7	"7

Sentence: Sim"	7
325	Mary brought the book to the librarian's desk.	Mary borrowed the book.	temporal	B follows A	none	Descript	False	False	True	False	['NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	0.8	AB_temp	then	Mary brought the book to the librarian's desk, then Mary borrowed the book.	then	4088	['10', '9', '10', '10', '10', '9', '10', '8', '10', '10', '7', '6', '7', '4', '10']	1.8135294011647256	8.666666666666666	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, because, after, then.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Mary brought the book to the librarian's desk, then Mary borrowed the book.
Rating: "	1	"7

Explanation: The"	7
138	Martina has less chance of getting the flu.	Martina has been vaccinated against the flu.	causality	A follows B	none	e-care	False	True	False	True	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	BA_cause	because	Martina has less chance of getting the flu, because Martina has been vaccinated against the flu.	because	3417	['10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '9', '10', '10']	0.2494438257849294	9.933333333333334	"Evaluate the acceptability of sentences that describe two events linked by connectives: after, then, because, so.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Martina has less chance of getting the flu, because Martina has been vaccinated against the flu.
Rating: "	6	"10

Sentence:"	10
519	Ted had a hangover.	Lucia drank a glass of water.	no_rel	none	none	origin	False	False	False	False	['YES', 'NO', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-0.6	AB_cause	other	Ted had a hangover, so Lucia drank a glass of water.	so	1721	['2', '2', '1', '1', '1', '1', '1', '1', '5', '1', '1', '1', '1', '1', '1']	1.019803902718557	1.4	"Evaluate the acceptability of sentences that describe two events linked by connectives: after, then, so, because.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Ted had a hangover, so Lucia drank a glass of water.
Rating: "	5	"2
Explanation: The"	2
438	The Math exam was difficult.	Edward has been the best student in the Geography class.	no_rel	none	none	e-care	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-1.0	AB_temp	other	The math exam was difficult, then Edward has been the best student in the geography class.	then	3219	['1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '3', '2', '1', '1', '1']	0.573488351136175	1.2666666666666666	"Evaluate the acceptability of sentences that describe two events linked by connectives: so, then, after, because.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: The math exam was difficult, then Edward has been the best student in the geography class.
Rating: "	6	"2

Explanation: The"	2
554	Linda was a nurse.	The doctor was experienced in dealing with emergencies in the pediatric ward.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO']	no	-0.8	AB_temp	other	Linda was a nurse, then the doctor was experienced in dealing with emergencies in the pediatric ward.	then	19	['2', '2', '1', '1', '1', '1', '1', '2', '3', '1', '1', '1', '2', '1', '1']	0.6110100926607788	1.4	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, then, after, so.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Linda was a nurse, then the doctor was experienced in dealing with emergencies in the pediatric ward.
Rating: "	1	"2

Explanation: The"	2
152	It started raining.	The driver turned the wipers on.	causality	B follows A	none	big_bench	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	AB_cause	thus	It started raining, so the driver turned the wipers on.	so	4381	['10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10']	0.0	10.0	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, after, then, so.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: It started raining, so the driver turned the wipers on.
Rating: "	4	"8

Sentence: After"	8
532	Linda is having a baby.	The doctor was experienced in dealing with emergencies in the pediatric ward.	no_rel	none	none	origin	False	False	False	False	['NO', 'YES', 'YES', 'NO', 'YES', 'NO', 'YES', 'NO', 'NO', 'NO']	no	-0.2	BA_cause	other	Linda is having a baby, because the doctor was experienced in dealing with emergencies in the pediatric ward.	because	4673	['5', '2', '1', '1', '1', '1', '1', '8', '1', '1', '1', '1', '3', '1', '6']	2.174600857373345	2.2666666666666666	"Evaluate the acceptability of sentences that describe two events linked by connectives: after, because, so, then.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Linda is having a baby, because the doctor was experienced in dealing with emergencies in the pediatric ward.
Rating: "	3	"8

Explanation: The"	8
123	Jill was ill.	Jill did not go to school.	causality	B follows A	none	origin	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO']	yes	0.8	AB_temp	thus	Jill was ill, then Jill did not go to school.	then	1253	['2', '7', '4', '4', '8', '7', '10', '9', '2', '6', '5', '9', '3', '8', '10']	2.6948510575210314	6.266666666666667	"Evaluate the acceptability of sentences that describe two events linked by connectives: because, after, so, then.

Rate each sentence on a scale from 1 to 10 based on how well the connective expresses the relationship between the events.

Sentence: Jill was ill, then Jill did not go to school.
Rating: "	4	"5

Sentence: Jill"	5
