pair_id	Sentence_A	Sentence_B	relation	order	additional_dimension	origin	A_cause_B	B_cause_A	A_precede_B	B_precede_A	answers	majority_vote	average_vote	quest_label	connective	connected_sent	conn_in_list	pair_ID	accept_answers	accept_st_dev	accept_average_vote	generated_answer_normal	generated_answer_outlines	answer_greedy_cleaned
445	Lili decided to pursue a master's degree.	Lili presented her research at a college conference.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO', 'NO', 'NO']	inconclusive	0.0	BA_cause	other	Lili decided to pursue a master's degree, because Lili presented her research at a college conference.	because	4740	['4', '2', '4', '6', '4', '5', '1', '5', '4', '1', '9', '6', '4', '1', '10']	2.576819745345025	4.4	"Rating: 3

The use of ""because"" suggests a causal relationship, implying that Lili's decision to pursue a master's degree is a direct result of presenting her research. However, the connection between the two events is weak; presenting research at"	4	3
355	Simona left the house.	Simona wore a fancy dress.	temporal	A follows B	none	origin	False	False	False	True	['YES', 'NO', 'YES', 'NO', 'YES', 'NO', 'YES', 'YES', 'NO', 'YES']	yes	0.2	BA_temp	after	Simona left the house, after Simona wore a fancy dress.	after	2403	['8', '7', '7', '2', '3', '3', '2', '1', '6', '1', '6', '1', '1', '3', '9']	2.756809750418044	4.0	"Rating: 3

Explanation: The use of ""after"" suggests a temporal relationship, indicating that one event follows another in time. However, the sentence implies that wearing a fancy dress is a prerequisite for leaving the house, which is not clearly conveyed"	8	3
325	Mary brought the book to the librarian's desk.	Mary borrowed the book.	temporal	B follows A	none	Descript	False	False	True	False	['NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	0.8	AB_temp	then	Mary brought the book to the librarian's desk, then Mary borrowed the book.	then	4088	['10', '9', '10', '10', '10', '9', '10', '8', '10', '10', '7', '6', '7', '4', '10']	1.8135294011647256	8.666666666666666	"Rating: 6

The connective ""then"" indicates a sequence of events, which is appropriate here as it shows that Mary first brought the book to the librarian's desk and then borrowed it. However, the relationship could be clearer if it explicitly indicated"	7	6
138	Martina has less chance of getting the flu.	Martina has been vaccinated against the flu.	causality	A follows B	none	e-care	False	True	False	True	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	BA_cause	because	Martina has less chance of getting the flu, because Martina has been vaccinated against the flu.	because	3417	['10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '9', '10', '10']	0.2494438257849294	9.933333333333334	"Rating: 10

The connective ""because"" effectively expresses a causal relationship between the two events. It clearly indicates that the reason for Martina having less chance of getting the flu is her vaccination, making the sentence logically sound and easy to understand."	8	10
519	Ted had a hangover.	Lucia drank a glass of water.	no_rel	none	none	origin	False	False	False	False	['YES', 'NO', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-0.6	AB_cause	other	Ted had a hangover, so Lucia drank a glass of water.	so	1721	['2', '2', '1', '1', '1', '1', '1', '1', '5', '1', '1', '1', '1', '1', '1']	1.019803902718557	1.4	"Rating: 2

Explanation: The connective ""so"" typically indicates a cause-and-effect relationship, where the first event leads to the second. In this sentence, Ted's hangover does not logically lead to Lucia drinking a glass of water, making"	1	2
438	The Math exam was difficult.	Edward has been the best student in the Geography class.	no_rel	none	none	e-care	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-1.0	AB_temp	other	The math exam was difficult, then Edward has been the best student in the geography class.	then	3219	['1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '3', '2', '1', '1', '1']	0.573488351136175	1.2666666666666666	"Rating: 3

Explanation: The connective ""then"" suggests a sequence or consequence, but in this context, the relationship between the two events is unclear. The difficulty of the math exam does not logically lead to Edward being the best student in geography"	7	3
554	Linda was a nurse.	The doctor was experienced in dealing with emergencies in the pediatric ward.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO']	no	-0.8	AB_temp	other	Linda was a nurse, then the doctor was experienced in dealing with emergencies in the pediatric ward.	then	19	['2', '2', '1', '1', '1', '1', '1', '2', '3', '1', '1', '1', '2', '1', '1']	0.6110100926607788	1.4	"Rating: 3

Explanation: The connective ""then"" suggests a sequence or consequence, but in this sentence, the relationship between Linda being a nurse and the doctor being experienced is unclear. The two events do not logically follow from one another, making"	8	3
152	It started raining.	The driver turned the wipers on.	causality	B follows A	none	big_bench	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	AB_cause	thus	It started raining, so the driver turned the wipers on.	so	4381	['10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10']	0.0	10.0	"Rating: 8/10

The connective ""so"" effectively expresses a cause-and-effect relationship between the two events: the rain prompted the driver to turn on the wipers. However, it could be slightly improved by providing more context about the driver's"	8	10
532	Linda is having a baby.	The doctor was experienced in dealing with emergencies in the pediatric ward.	no_rel	none	none	origin	False	False	False	False	['NO', 'YES', 'YES', 'NO', 'YES', 'NO', 'YES', 'NO', 'NO', 'NO']	no	-0.2	BA_cause	other	Linda is having a baby, because the doctor was experienced in dealing with emergencies in the pediatric ward.	because	4673	['5', '2', '1', '1', '1', '1', '1', '8', '1', '1', '1', '1', '3', '1', '6']	2.174600857373345	2.2666666666666666	"Rating: 3

Explanation: The connective ""because"" typically indicates a causal relationship, where one event is the reason for another. In this sentence, the connection between Linda having a baby and the doctor's experience is unclear and does not logically follow."	8	3
123	Jill was ill.	Jill did not go to school.	causality	B follows A	none	origin	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO']	yes	0.8	AB_temp	thus	Jill was ill, then Jill did not go to school.	then	1253	['2', '7', '4', '4', '8', '7', '10', '9', '2', '6', '5', '9', '3', '8', '10']	2.6948510575210314	6.266666666666667	"Rating: 4

The use of ""then"" suggests a sequence of events, but it does not clearly express a causal relationship. A more appropriate connective might be ""because,"" which would indicate that Jill's illness is the reason for not going to"	7	4
