pair_id	Sentence_A	Sentence_B	relation	order	additional_dimension	origin	A_cause_B	B_cause_A	A_precede_B	B_precede_A	answers	majority_vote	average_vote	quest_label	connective	connected_sent	conn_in_list	pair_ID	accept_answers	accept_st_dev	accept_average_vote	generated_answer_normal	generated_answer_outlines	answer_greedy_cleaned
445	Lili decided to pursue a master's degree.	Lili presented her research at a college conference.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO', 'NO', 'NO']	inconclusive	0.0	BA_cause	other	Lili decided to pursue a master's degree, because Lili presented her research at a college conference.	because	4740	['4', '2', '4', '6', '4', '5', '1', '5', '4', '1', '9', '6', '4', '1', '10']	2.576819745345025	4.4	"3

The sentence uses ""because"" to link the two events, suggesting a causal relationship. However, the connection between presenting research at a conference and deciding to pursue a master's degree is not inherently clear or strong. While presenting research might inspire or motivate"	3	3
355	Simona left the house.	Simona wore a fancy dress.	temporal	A follows B	none	origin	False	False	False	True	['YES', 'NO', 'YES', 'NO', 'YES', 'NO', 'YES', 'YES', 'NO', 'YES']	yes	0.2	BA_temp	after	Simona left the house, after Simona wore a fancy dress.	after	2403	['8', '7', '7', '2', '3', '3', '2', '1', '6', '1', '6', '1', '1', '3', '9']	2.756809750418044	4.0	"I would rate this sentence a 7 out of 10. The connective ""after"" is used correctly to indicate the sequence of events, with Simona wearing a fancy dress occurring before she left the house. However, the sentence could be improved for"	7	7
325	Mary brought the book to the librarian's desk.	Mary borrowed the book.	temporal	B follows A	none	Descript	False	False	True	False	['NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	0.8	AB_temp	then	Mary brought the book to the librarian's desk, then Mary borrowed the book.	then	4088	['10', '9', '10', '10', '10', '9', '10', '8', '10', '10', '7', '6', '7', '4', '10']	1.8135294011647256	8.666666666666666	"I would rate this sentence a 4 out of 10. The use of ""then"" suggests a sequence of events, but the actions described are somewhat contradictory. Typically, one would expect the sequence to be that Mary borrows the book first and"	3	4
138	Martina has less chance of getting the flu.	Martina has been vaccinated against the flu.	causality	A follows B	none	e-care	False	True	False	True	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	BA_cause	because	Martina has less chance of getting the flu, because Martina has been vaccinated against the flu.	because	3417	['10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '9', '10', '10']	0.2494438257849294	9.933333333333334	"9

The sentence effectively uses the connective ""because"" to express a causal relationship between the two events: Martina being vaccinated against the flu and her having less chance of getting the flu. The sentence is clear and logical, but it could be slightly improved"	9	9
519	Ted had a hangover.	Lucia drank a glass of water.	no_rel	none	none	origin	False	False	False	False	['YES', 'NO', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-0.6	AB_cause	other	Ted had a hangover, so Lucia drank a glass of water.	so	1721	['2', '2', '1', '1', '1', '1', '1', '1', '5', '1', '1', '1', '1', '1', '1']	1.019803902718557	1.4	"2

The sentence uses ""so"" to link two events, but the relationship between Ted having a hangover and Lucia drinking a glass of water is not clearly causal or logical. ""So"" typically indicates a cause-and-effect relationship, but in this"	2	2
438	The Math exam was difficult.	Edward has been the best student in the Geography class.	no_rel	none	none	e-care	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-1.0	AB_temp	other	The math exam was difficult, then Edward has been the best student in the geography class.	then	3219	['1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '3', '2', '1', '1', '1']	0.573488351136175	1.2666666666666666	"2

The sentence uses ""then"" to link two events that do not have a clear sequential or causal relationship. ""Then"" typically indicates a sequence of events, but in this case, the difficulty of the math exam and Edward being the best student"	2	2
554	Linda was a nurse.	The doctor was experienced in dealing with emergencies in the pediatric ward.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO']	no	-0.8	AB_temp	other	Linda was a nurse, then the doctor was experienced in dealing with emergencies in the pediatric ward.	then	19	['2', '2', '1', '1', '1', '1', '1', '2', '3', '1', '1', '1', '2', '1', '1']	0.6110100926607788	1.4	"2

The sentence uses ""then"" to connect two events, but the relationship between them is unclear. ""Then"" typically indicates a sequence of events, but in this case, the two clauses don't logically follow one another in a sequential manner. The"	2	2
152	It started raining.	The driver turned the wipers on.	causality	B follows A	none	big_bench	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	AB_cause	thus	It started raining, so the driver turned the wipers on.	so	4381	['10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10', '10']	0.0	10.0	"9

The sentence effectively uses the connective ""so"" to express a causal relationship between the two events. The rain starting is the cause, and the driver turning the wipers on is the effect. The use of ""so"" clearly conveys this cause"	8	9
532	Linda is having a baby.	The doctor was experienced in dealing with emergencies in the pediatric ward.	no_rel	none	none	origin	False	False	False	False	['NO', 'YES', 'YES', 'NO', 'YES', 'NO', 'YES', 'NO', 'NO', 'NO']	no	-0.2	BA_cause	other	Linda is having a baby, because the doctor was experienced in dealing with emergencies in the pediatric ward.	because	4673	['5', '2', '1', '1', '1', '1', '1', '8', '1', '1', '1', '1', '3', '1', '6']	2.174600857373345	2.2666666666666666	"2

The sentence uses ""because"" to link two events, but the causal relationship between Linda having a baby and the doctor's experience in dealing with emergencies in the pediatric ward is unclear or illogical. The connective ""because"" implies a direct cause-and"	2	2
123	Jill was ill.	Jill did not go to school.	causality	B follows A	none	origin	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO']	yes	0.8	AB_temp	thus	Jill was ill, then Jill did not go to school.	then	1253	['2', '7', '4', '4', '8', '7', '10', '9', '2', '6', '5', '9', '3', '8', '10']	2.6948510575210314	6.266666666666667	"7

The sentence ""Jill was ill, then Jill did not go to school"" uses the connective ""then"" to indicate a sequence of events. The use of ""then"" is acceptable as it suggests that Jill's illness preceded her not going"	7	7
