pair_id	Sentence_A	Sentence_B	relation	order	connected_sent	conn_in_list	max_human	prompt	generated_answer_outlines	generated_answer_greedy
325	Mary brought the book to the librarian's desk.	Mary borrowed the book.	temporal	B follows A	Mary brought the book to the librarian's desk, then Mary borrowed the book.	then	then	"Select the word that best describes the relationship between the events in these two sentences.

Use this template: event in sentence 1 <word> event in sentence 2.
Choose from: ['because', 'after', 'then', 'so'].
Provide only one word, no explanation.

Examples:
- Sentence 1: ""James took the phone.""
   Sentence 2: ""James called Clara.""
   Answer: ""then""


- Sentence 1: ""The girl put her books in the backpack.""
   Sentence 2: ""The girl finished her homework.""
   Answer: ""after""

- Sentence 1: ""Mary bought some flowers.""
   Sentence 2: ""Mary wants to give a present to her mom.""
   Answer: ""because""

- Sentence 1: ""Jude walked under the rain for an hour.""
   Sentence 2: ""Jude got sick.""
   Answer: ""so""


Sentences:
- Sentence 1: ""Mary brought the book to the librarian's desk.""
- Sentence 2: ""Mary borrowed the book.""

Answer: "	because	" because
- Sentence "
152	It started raining.	The driver turned the wipers on.	causality	B follows A	It started raining, so the driver turned the wipers on.	so	so	"Select the word that best describes the relationship between the events in these two sentences.

Use this template: event in sentence 1 <word> event in sentence 2.
Choose from: ['so', 'because', 'after', 'then'].
Provide only one word, no explanation.

Examples:
- Sentence 1: ""James took the phone.""
   Sentence 2: ""James called Clara.""
   Answer: ""then""


- Sentence 1: ""Mary bought some flowers.""
   Sentence 2: ""Mary wants to give a present to her mom.""
   Answer: ""because""

- Sentence 1: ""Jude walked under the rain for an hour.""
   Sentence 2: ""Jude got sick.""
   Answer: ""so""

- Sentence 1: ""The girl put her books in the backpack.""
   Sentence 2: ""The girl finished her homework.""
   Answer: ""after""


Sentences:
- Sentence 1: ""It started raining.""
- Sentence 2: ""The driver turned the wipers on.""

Answer: "	then	" after
- Sentence "
123	Jill was ill.	Jill did not go to school.	causality	B follows A	Jill was ill, then Jill did not go to school.	then	so	"Select the word that best describes the relationship between the events in these two sentences.

Use this template: event in sentence 1 <word> event in sentence 2.
Choose from: ['after', 'so', 'because', 'then'].
Provide only one word, no explanation.

Examples:
- Sentence 1: ""James took the phone.""
   Sentence 2: ""James called Clara.""
   Answer: ""then""


- Sentence 1: ""Mary bought some flowers.""
   Sentence 2: ""Mary wants to give a present to her mom.""
   Answer: ""because""

- Sentence 1: ""Jude walked under the rain for an hour.""
   Sentence 2: ""Jude got sick.""
   Answer: ""so""

- Sentence 1: ""The girl put her books in the backpack.""
   Sentence 2: ""The girl finished her homework.""
   Answer: ""after""


Sentences:
- Sentence 1: ""Jill was ill.""
- Sentence 2: ""Jill did not go to school.""

Answer: "	then	" because
- Sentence "
247	June decided to get the train.	June looked up for train information online.	temporal	B follows A	June decided to get the train, because june looked up for train information online.	because	then	"Select the word that best describes the relationship between the events in these two sentences.

Use this template: event in sentence 1 <word> event in sentence 2.
Choose from: ['after', 'because', 'then', 'so'].
Provide only one word, no explanation.

Examples:
- Sentence 1: ""Jude walked under the rain for an hour.""
   Sentence 2: ""Jude got sick.""
   Answer: ""so""

- Sentence 1: ""Mary bought some flowers.""
   Sentence 2: ""Mary wants to give a present to her mom.""
   Answer: ""because""

- Sentence 1: ""James took the phone.""
   Sentence 2: ""James called Clara.""
   Answer: ""then""


- Sentence 1: ""The girl put her books in the backpack.""
   Sentence 2: ""The girl finished her homework.""
   Answer: ""after""


Sentences:
- Sentence 1: ""June decided to get the train.""
- Sentence 2: ""June looked up for train information online.""

Answer: "	so	" because
- Sentence "
340	Matteo sat at the desk.	Matteo turned on the computer.	temporal	B follows A	Matteo sat at the desk, after Matteo turned on the computer.	after	then	"Select the word that best describes the relationship between the events in these two sentences.

Use this template: event in sentence 1 <word> event in sentence 2.
Choose from: ['then', 'because', 'so', 'after'].
Provide only one word, no explanation.

Examples:
- Sentence 1: ""Jude walked under the rain for an hour.""
   Sentence 2: ""Jude got sick.""
   Answer: ""so""

- Sentence 1: ""James took the phone.""
   Sentence 2: ""James called Clara.""
   Answer: ""then""


- Sentence 1: ""Mary bought some flowers.""
   Sentence 2: ""Mary wants to give a present to her mom.""
   Answer: ""because""

- Sentence 1: ""The girl put her books in the backpack.""
   Sentence 2: ""The girl finished her homework.""
   Answer: ""after""


Sentences:
- Sentence 1: ""Matteo sat at the desk.""
- Sentence 2: ""Matteo turned on the computer.""

Answer: "	so	" then
- Sentence "
106	Larry has a weight problem.	Larry decided to run every night.	causality	B follows A	Larry has a weight problem, because Larry decided to run every night.	because	so	"Select the word that best describes the relationship between the events in these two sentences.

Use this template: event in sentence 1 <word> event in sentence 2.
Choose from: ['then', 'because', 'after', 'so'].
Provide only one word, no explanation.

Examples:
- Sentence 1: ""Mary bought some flowers.""
   Sentence 2: ""Mary wants to give a present to her mom.""
   Answer: ""because""

- Sentence 1: ""James took the phone.""
   Sentence 2: ""James called Clara.""
   Answer: ""then""


- Sentence 1: ""The girl put her books in the backpack.""
   Sentence 2: ""The girl finished her homework.""
   Answer: ""after""

- Sentence 1: ""Jude walked under the rain for an hour.""
   Sentence 2: ""Jude got sick.""
   Answer: ""so""


Sentences:
- Sentence 1: ""Larry has a weight problem.""
- Sentence 2: ""Larry decided to run every night.""

Answer: "	then	" after
- Sentence "
96	Luke is allergic to pollen.	Luke often sneezes in spring.	causality	B follows A	Luke is allergic to pollen, then Luke often sneezes in spring.	then	so	"Select the word that best describes the relationship between the events in these two sentences.

Use this template: event in sentence 1 <word> event in sentence 2.
Choose from: ['because', 'after', 'so', 'then'].
Provide only one word, no explanation.

Examples:
- Sentence 1: ""Mary bought some flowers.""
   Sentence 2: ""Mary wants to give a present to her mom.""
   Answer: ""because""

- Sentence 1: ""Jude walked under the rain for an hour.""
   Sentence 2: ""Jude got sick.""
   Answer: ""so""

- Sentence 1: ""James took the phone.""
   Sentence 2: ""James called Clara.""
   Answer: ""then""


- Sentence 1: ""The girl put her books in the backpack.""
   Sentence 2: ""The girl finished her homework.""
   Answer: ""after""


Sentences:
- Sentence 1: ""Luke is allergic to pollen.""
- Sentence 2: ""Luke often sneezes in spring.""

Answer: "	because	" because
- Sentence "
316	The mum cut the cake into pieces.	The child ate the cake.	temporal	B follows A	The mum cut the cake into pieces, because the child ate the cake.	because	then	"Select the word that best describes the relationship between the events in these two sentences.

Use this template: event in sentence 1 <word> event in sentence 2.
Choose from: ['because', 'then', 'after', 'so'].
Provide only one word, no explanation.

Examples:
- Sentence 1: ""Jude walked under the rain for an hour.""
   Sentence 2: ""Jude got sick.""
   Answer: ""so""

- Sentence 1: ""Mary bought some flowers.""
   Sentence 2: ""Mary wants to give a present to her mom.""
   Answer: ""because""

- Sentence 1: ""James took the phone.""
   Sentence 2: ""James called Clara.""
   Answer: ""then""


- Sentence 1: ""The girl put her books in the backpack.""
   Sentence 2: ""The girl finished her homework.""
   Answer: ""after""


Sentences:
- Sentence 1: ""The mum cut the cake into pieces.""
- Sentence 2: ""The child ate the cake.""

Answer: "	after	" after
- Sentence "
7	Kevin spends lots of money on gambling.	Kevin has a lot of debts.	causality	B follows A	Kevin spends lots of money on gambling, then Kevin has a lot of debts.	then	so	"Select the word that best describes the relationship between the events in these two sentences.

Use this template: event in sentence 1 <word> event in sentence 2.
Choose from: ['because', 'after', 'so', 'then'].
Provide only one word, no explanation.

Examples:
- Sentence 1: ""James took the phone.""
   Sentence 2: ""James called Clara.""
   Answer: ""then""


- Sentence 1: ""Mary bought some flowers.""
   Sentence 2: ""Mary wants to give a present to her mom.""
   Answer: ""because""

- Sentence 1: ""The girl put her books in the backpack.""
   Sentence 2: ""The girl finished her homework.""
   Answer: ""after""

- Sentence 1: ""Jude walked under the rain for an hour.""
   Sentence 2: ""Jude got sick.""
   Answer: ""so""


Sentences:
- Sentence 1: ""Kevin spends lots of money on gambling.""
- Sentence 2: ""Kevin has a lot of debts.""

Answer: "	because	" because
- Sentence "
278	Leonard went to the bathtub.	Leonard turned on the water.	temporal	B follows A	Leonard went to the bathtub, because Leonard turned on the water.	because	then	"Select the word that best describes the relationship between the events in these two sentences.

Use this template: event in sentence 1 <word> event in sentence 2.
Choose from: ['so', 'because', 'after', 'then'].
Provide only one word, no explanation.

Examples:
- Sentence 1: ""James took the phone.""
   Sentence 2: ""James called Clara.""
   Answer: ""then""


- Sentence 1: ""Mary bought some flowers.""
   Sentence 2: ""Mary wants to give a present to her mom.""
   Answer: ""because""

- Sentence 1: ""Jude walked under the rain for an hour.""
   Sentence 2: ""Jude got sick.""
   Answer: ""so""

- Sentence 1: ""The girl put her books in the backpack.""
   Sentence 2: ""The girl finished her homework.""
   Answer: ""after""


Sentences:
- Sentence 1: ""Leonard went to the bathtub.""
- Sentence 2: ""Leonard turned on the water.""

Answer: "	after	" after
- Sentence "
